step,time_s,angle_q_deg,angle_th_deg,target_deg,error_q_deg,action_A,inference_ms
0,0.000000,-4.650385,2.725115,17.682226,-22.332611,79.202690,1.300485
1,0.001000,-4.647820,2.726500,17.682226,-22.330046,99.766785,0.828681
2,0.002000,-4.642691,2.731625,17.682226,-22.324917,98.015419,0.877080
3,0.003000,-4.634998,2.741562,17.682226,-22.317224,94.329185,0.783921
4,0.004000,-4.624739,2.756725,17.682226,-22.306965,89.418579,0.803361
5,0.005000,-4.611912,2.777161,17.682226,-22.294138,84.239326,0.775581
6,0.006000,-4.596515,2.802737,17.682226,-22.278741,78.856209,0.776971
7,0.007000,-4.578544,2.833218,17.682226,-22.260770,72.824463,0.781611
8,0.008000,-4.557992,2.868283,17.682226,-22.240218,67.704918,0.778971
9,0.009000,-4.534855,2.907623,17.682226,-22.217081,62.821278,0.779621
10,0.010000,-4.509127,2.950939,17.682226,-22.191353,59.403133,0.790101
11,0.011000,-4.480799,2.998009,17.682226,-22.163025,55.613014,0.769962
12,0.012000,-4.449865,3.048607,17.682226,-22.132091,53.342701,0.771641
13,0.013000,-4.416316,3.102587,17.682226,-22.098542,51.151508,0.764131
14,0.014000,-4.380145,3.159821,17.682226,-22.062371,48.839024,0.774711
15,0.015000,-4.341342,3.220176,17.682226,-22.023568,46.755772,0.768551
16,0.016000,-4.299899,3.283527,17.682226,-21.982125,44.633358,0.770801
17,0.017000,-4.255807,3.349741,17.682226,-21.938033,42.840458,0.772041
18,0.018000,-4.209057,3.418706,17.682226,-21.891283,40.834980,0.787251
19,0.019000,-4.159639,3.490295,17.682226,-21.841865,38.529392,1.305535
20,0.020000,-4.107545,3.564362,17.682226,-21.789771,35.825371,1.277825
21,0.021000,-4.052764,3.640732,17.682226,-21.734990,32.367184,0.767462
22,0.022000,-3.995289,3.719179,17.682226,-21.677515,28.543560,0.769961
23,0.023000,-3.935108,3.799443,17.682226,-21.617334,25.535158,0.864190
24,0.024000,-3.872215,3.881307,17.682226,-21.554441,21.993275,0.786991
25,0.025000,-3.806600,3.964533,17.682226,-21.488826,18.613110,0.779671
26,0.026000,-3.738255,4.048893,17.682226,-21.420481,15.314848,0.770681
27,0.027000,-3.667173,4.134164,17.682226,-21.349399,11.904136,0.788081
28,0.028000,-3.593347,4.220119,17.682226,-21.275573,7.843943,0.762372
29,0.029000,-3.516770,4.306496,17.682226,-21.198996,1.767833,0.777371
30,0.030000,-3.437437,4.392906,17.682226,-21.119663,-2.924491,0.774421
31,0.031000,-3.355343,4.479011,17.682226,-21.037569,-7.164149,0.782831
32,0.032000,-3.270486,4.564513,17.682226,-20.952712,-10.416918,0.791341
33,0.033000,-3.182862,4.649190,17.682226,-20.865088,-12.677078,0.794331
34,0.034000,-3.092471,4.732891,17.682226,-20.774697,-14.656651,0.771541
35,0.035000,-2.999312,4.815501,17.682226,-20.681538,-16.189131,0.770591
36,0.036000,-2.903387,4.896936,17.682226,-20.585613,-17.648935,0.782581
37,0.037000,-2.804699,4.977120,17.682226,-20.486925,-19.449879,0.984779
38,0.038000,-2.703252,5.055958,17.682226,-20.385478,-21.026882,0.844550
39,0.039000,-2.599052,5.133358,17.682226,-20.281278,-22.438091,0.874160
40,0.040000,-2.492106,5.209238,17.682226,-20.174332,-23.505323,0.771662
41,0.041000,-2.382423,5.283535,17.682226,-20.064649,-24.531849,0.770801
42,0.042000,-2.270013,5.356195,17.682226,-19.952238,-25.571674,0.782881
43,0.043000,-2.154886,5.427163,17.682226,-19.837112,-26.591499,0.767971
44,0.044000,-2.037057,5.496384,17.682226,-19.719283,-27.493023,0.757071
45,0.045000,-1.916540,5.563807,17.682226,-19.598766,-28.172333,0.762012
46,0.046000,-1.793352,5.629397,17.682226,-19.475578,-28.694309,0.776291
47,0.047000,-1.667510,5.693129,17.682226,-19.349736,-29.327909,0.768491
48,0.048000,-1.539034,5.754975,17.682226,-19.221260,-30.026058,0.788281
49,0.049000,-1.407944,5.814902,17.682226,-19.090170,-30.624191,0.765971
50,0.050000,-1.274264,5.872877,17.682226,-18.956490,-31.579830,0.764322
51,0.051000,-1.138017,5.928851,17.682226,-18.820243,-33.044613,0.758781
52,0.052000,-0.999229,5.982739,17.682226,-18.681455,-34.302280,0.769331
53,0.053000,-0.857928,6.034459,17.682226,-18.540154,-35.488750,0.774841
54,0.054000,-0.714142,6.083936,17.682226,-18.396368,-36.927799,0.784420
55,0.055000,-0.567902,6.131081,17.682226,-18.250128,-38.174198,0.773471
56,0.056000,-0.419241,6.175818,17.682226,-18.101467,-39.106518,0.917679
57,0.057000,-0.268193,6.218087,17.682226,-17.950419,-39.836979,0.930540
58,0.058000,-0.114793,6.257848,17.682226,-17.797019,-40.365833,1.018228
59,0.059000,0.040921,6.295076,17.682226,-17.641305,-40.473743,0.783791
60,0.060000,0.198910,6.329774,17.682226,-17.483316,-40.431759,0.774661
61,0.061000,0.359134,6.361958,17.682226,-17.323092,-40.311604,0.764971
62,0.062000,0.521549,6.391652,17.682226,-17.160677,-39.990532,0.769572
63,0.063000,0.686111,6.418892,17.682226,-16.996115,-39.603390,0.774211
64,0.064000,0.852775,6.443717,17.682226,-16.829451,-39.233776,0.771641
65,0.065000,1.021494,6.466167,17.682226,-16.660732,-38.833851,0.780071
66,0.066000,1.192218,6.486281,17.682226,-16.490008,-38.326233,0.768241
67,0.067000,1.364897,6.504104,17.682226,-16.317329,-37.709660,0.770512
68,0.068000,1.539479,6.519688,17.682226,-16.142747,-36.946548,0.756311
69,0.069000,1.715910,6.533093,17.682226,-15.966316,-36.061428,0.772461
70,0.070000,1.894137,6.544389,17.682226,-15.788089,-35.466797,0.772081
71,0.071000,2.074101,6.553630,17.682226,-15.608125,-34.912834,0.794761
72,0.072000,2.255747,6.560862,17.682226,-15.426479,-34.512455,0.780011
73,0.073000,2.439015,6.566123,17.682226,-15.243211,-34.125484,0.776382
74,0.074000,2.623845,6.569442,17.682226,-15.058381,-33.746056,0.763011
75,0.075000,2.810176,6.570852,17.682226,-14.872050,-33.278938,0.864920
76,0.076000,2.997944,6.570389,17.682226,-14.684282,-32.720097,0.768581
77,0.077000,3.187088,6.568095,17.682226,-14.495138,-32.079727,0.774651
78,0.078000,3.377540,6.564019,17.682226,-14.304685,-31.392778,0.787380
79,0.079000,3.569237,6.558214,17.682226,-14.112989,-30.610188,0.771251
80,0.080000,3.762110,6.550740,17.682226,-13.920116,-29.741009,0.765141
81,0.081000,3.956092,6.541661,17.682226,-13.726134,-28.803955,0.781601
82,0.082000,4.151113,6.531047,17.682226,-13.531113,-27.847057,0.768671
83,0.083000,4.347105,6.518970,17.682226,-13.335121,-27.023159,0.768031
84,0.084000,4.543995,6.505494,17.682226,-13.138231,-26.096146,0.776172
85,0.085000,4.741713,6.490686,17.682226,-12.940513,-25.003435,0.764081
86,0.086000,4.940186,6.474622,17.682226,-12.742040,-23.783100,0.768751
87,0.087000,5.139342,6.457389,17.682226,-12.542884,-22.410093,0.784061
88,0.088000,5.339106,6.439084,17.682226,-12.343120,-21.183552,0.778491
89,0.089000,5.539404,6.419797,17.682226,-12.142822,-20.039682,0.784401
90,0.090000,5.740161,6.399612,17.682226,-11.942065,-18.814171,0.757012
91,0.091000,5.941303,6.378614,17.682226,-11.740923,-17.913733,0.767981
92,0.092000,6.142754,6.356870,17.682226,-11.539472,-17.012264,0.783011
93,0.093000,6.344436,6.334441,17.682226,-11.337790,-16.372692,0.804471
94,0.094000,6.546274,6.311373,17.682226,-11.135952,-15.753692,0.778811
95,0.095000,6.748192,6.287707,17.682226,-10.934034,-15.110913,0.770501
96,0.096000,6.950112,6.263484,17.682226,-10.732114,-14.404340,0.865200
97,0.097000,7.151956,6.238749,17.682226,-10.530270,-13.612944,0.756042
98,0.098000,7.353649,6.213556,17.682226,-10.328577,-12.632273,0.773931
99,0.099000,7.555111,6.187968,17.682226,-10.127115,-11.569633,0.782341
100,0.100000,7.756267,6.162058,17.682226,-9.925959,-10.426584,0.781791
101,0.101000,7.957037,6.135905,17.682226,-9.725189,-9.337388,0.783891
102,0.102000,8.157345,6.109584,17.682226,-9.524881,-8.519403,0.769321
103,0.103000,8.357114,6.083154,17.682226,-9.325112,-7.798761,0.769282
104,0.104000,8.556265,6.056666,17.682226,-9.125961,-7.041192,0.765831
105,0.105000,8.754722,6.030165,17.682226,-8.927504,-6.241826,0.767051
106,0.106000,8.952409,6.003704,17.682226,-8.729817,-5.385022,0.782391
107,0.107000,9.149248,5.977337,17.682226,-8.532978,-4.174929,0.776221
108,0.108000,9.345162,5.951140,17.682226,-8.337064,-2.775959,0.777971
109,0.109000,9.540078,5.925206,17.682226,-8.142148,-1.429429,0.770312
110,0.110000,9.733918,5.899626,17.682226,-7.948308,0.049092,0.766551
111,0.111000,9.926608,5.874500,17.682226,-7.755618,1.808867,0.790281
112,0.112000,10.118073,5.849943,17.682226,-7.564153,3.391952,0.776191
113,0.113000,10.308241,5.826066,17.682226,-7.373985,4.894533,0.868390
114,0.114000,10.497037,5.802968,17.682226,-7.185189,6.338799,0.791071
115,0.115000,10.684389,5.780746,17.682226,-6.997837,7.737806,0.771561
116,0.116000,10.870226,5.759490,17.682226,-6.812000,9.401261,0.880440
117,0.117000,11.054476,5.739303,17.682226,-6.627750,11.394339,0.783311
118,0.118000,11.237071,5.720313,17.682226,-6.445155,13.143254,0.794991
119,0.119000,11.417940,5.702638,17.682226,-6.264286,14.806025,0.780661
120,0.120000,11.597018,5.686386,17.682226,-6.085208,16.431313,0.762662
121,0.121000,11.774237,5.671662,17.682226,-5.907989,17.795071,0.759451
122,0.122000,11.949531,5.658555,17.682226,-5.732695,19.455238,0.778431
123,0.123000,12.122837,5.647163,17.682226,-5.559389,21.836868,0.786391
124,0.124000,12.294092,5.637633,17.682226,-5.388134,24.155609,0.781211
125,0.125000,12.463233,5.630117,17.682226,-5.218993,26.455612,0.778111
126,0.126000,12.630201,5.624768,17.682226,-5.052025,29.530302,0.765401
127,0.127000,12.794939,5.621781,17.682226,-4.887287,32.485798,0.762041
128,0.128000,12.957387,5.621354,17.682226,-4.724839,34.918533,0.780311
129,0.129000,13.117492,5.623653,17.682226,-4.564734,37.009495,0.779041
130,0.130000,13.275199,5.628815,17.682226,-4.407027,39.088718,0.779781
131,0.131000,13.430458,5.636968,17.682226,-4.251768,40.825161,0.800771
132,0.132000,13.583218,5.648220,17.682226,-4.099008,42.273640,0.763861
133,0.133000,13.733431,5.662654,17.682226,-3.948794,43.755657,0.859980
134,0.134000,13.881054,5.680352,17.682226,-3.801172,45.400227,0.763181
135,0.135000,14.026040,5.701409,17.682226,-3.656186,46.720585,0.859290
136,0.136000,14.168350,5.725899,17.682226,-3.513876,47.642406,0.771321
137,0.137000,14.307943,5.753875,17.682226,-3.374283,48.341122,0.771861
138,0.138000,14.444783,5.785367,17.682226,-3.237443,48.880367,0.769972
139,0.139000,14.578834,5.820397,17.682226,-3.103392,49.417873,0.780371
140,0.140000,14.710062,5.858980,17.682226,-2.972164,49.861027,0.779351
141,0.141000,14.838441,5.901130,17.682226,-2.843785,50.538734,0.796121
142,0.142000,14.963939,5.946873,17.682226,-2.718287,51.099644,0.777821
