wall_time_s,controller_clock_s,fault_code,armed,stop_request,policy_output_numeric,heartbeat,raw_candidate,statusword,controlword,drive_state_internal,mode_command,actual_torque_raw,ethercat_init,safe_command_raw,pre_integer_command_raw,pdo_command_int16_raw,mapping_error_raw,q_link_rad,dq_link_rad_s,theta_joint_rad,dtheta_joint_rad_s,external_target_rad,policy_target_rad
0.0204244,0,0,0,0,-124.317840576172,8,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.0461341,0,0,0,0,-123.048835754395,36,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.0699815,0,0,0,0,-47.2707557678223,59,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.0948534,0,0,0,0,-5.54050397872925,83,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.1178891,0,0,0,0,-0.829611897468567,108,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.1421702,0,0,0,0,-0.453089356422424,133,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.1660306,0,0,0,0,-0.423418164253235,155,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.1899713,0,0,0,0,-0.420065999031067,179,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.2129781,0,0,0,0,-0.419761776924133,203,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.2381936,0,0,0,0,-0.419736504554749,226,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.2627247,0,0,0,0,-0.419735074043274,252,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.2967304,0,0,0,0,-0.419735074043274,282,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.325932,0,0,0,0,-0.419735074043274,314,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.3579028,0,0,0,0,-0.419735074043274,346,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.3837155,0,0,0,0,-0.419735074043274,372,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.4067906,0,0,0,0,-0.419735074043274,396,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.4335904,0,0,0,0,-0.419735074043274,420,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.4645886,0,0,0,0,-0.419735074043274,453,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.4962134,0,0,0,0,-0.419735074043274,483,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.525379,0,0,0,0,-0.419735074043274,515,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.5595533,0,0,0,0,-0.419735074043274,547,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.5846562,0,0,0,0,-0.419735074043274,573,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.6084939,0,0,0,0,-0.419735074043274,597,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.6346778,0,0,0,0,-0.419735074043274,621,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.665641,0,0,0,0,-0.419735074043274,654,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.6972671,0,0,0,0,-0.419735074043274,686,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.7280913,0,0,0,0,-0.419735074043274,716,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.7626293,0,0,0,0,-0.419735074043274,749,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.786376,0,0,0,0,-0.419735074043274,775,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
0.8134033,0,0,0,0,-0.419735074043274,800,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0
