time_s,controller_clock_s,target_angle_deg,link_angle_deg,link_velocity_rad_s,motor_angle_deg,motor_velocity_rad_s,tracking_error_deg,policy_output_raw,safe_command_raw,pre_integer_command_raw,pdo_command_raw,actual_torque_raw,fault_code,armed
0,12.53,30,0.0054931640625,0.00581383761366,0.179296875,0.250581662292,29.9945068359,117.01361084,116.916412354,116.915847778,116,108,0,1
0.036,12.566,30,0.208740234375,0.177389842345,0.939111328125,0.417575023353,29.7912597656,116.913414001,116.914985657,116.915748596,116,112,0,1
0.067,12.597,30,0.791015625,0.466904046583,1.67915039063,0.532225163347,29.208984375,116.915908813,116.91557312,116.915718079,116,117,0,1
0.093,12.623,30,1.98303222656,0.837532826715,2.59716796875,0.602015326627,28.0169677734,116.915168762,116.922645569,116.922645569,116,117,0,1
0.121,12.651,30,3.44421386719,1.05228688386,3.52177734375,0.693455218056,26.5557861328,116.950721741,116.967857361,116.970176697,116,114,0,1
0.146,12.676,30,4.98779296875,1.08936828773,4.67666015625,0.786170043497,25.0122070313,117.00969696,117.028678894,117.031105042,117,112,0,1
0.174,12.704,30,6.44897460938,1.11822382112,5.87241210937,0.872107203241,23.5510253906,117.0883255,117.109069824,117.111930847,117,103,0,1
0.207,12.737,30,8.63525390625,1.13214561224,7.70317382812,0.947035022653,21.3647460938,117.191307068,117.219230652,117.223854065,117,108,0,1
0.234,12.764,30,10.2282714844,1.15823858772,9.08745117188,0.991420476709,19.7717285156,117.317054749,117.356636047,117.356636047,117,117,0,1
0.261,12.791,30,12.2222900391,1.2010282337,10.901953125,1.0497168164,17.7777099609,117.455612183,117.523406982,117.523406982,117,121,0,1
0.29,12.82,30,13.9416503906,1.21503738664,12.4875,1.08561789188,16.0583496094,117.669395447,117.746391296,117.746391296,117,117,0,1
0.333,12.863,30,17.6440429687,1.19597901598,16.2360351563,1.15912946893,12.3559570313,118.38054657,118.268074036,118.152511597,118,119,0,1
0.376,12.906,30,20.1104736328,1.21090550505,18.5950195312,0.995674089745,9.88952636719,72.8485183716,53.3262557983,52.0151634216,50,66,0,1
0.411,12.941,30,21.9122314453,1.15876024558,19.9208496094,0.748636503789,8.08776855469,36.2304916382,33.3444328308,33.1742897034,32,35,0,1
0.438,12.968,30,23.2305908203,0.72174987535,20.9834472656,0.568310941802,6.76940917969,33.1333465576,39.1244773865,41.1914291382,44,33,0,1
0.47,13,30,24.5654296875,0.467825008881,22.3053222656,0.538024711146,5.4345703125,55.0592842102,57.6233444214,58.1335296631,58,57,0,1
0.508,13.038,30,24.9664306641,0.260043343855,23.1029296875,0.547538444092,5.03356933594,71.7747268677,72.9699859619,72.9699859619,72,64,0,1
0.536,13.066,30,25.3289794922,0.271140202564,23.9686523437,0.501181814819,4.67102050781,62.3732757568,52.9622039795,51.3069381714,49,50,0,1
0.567,13.097,30,26.103515625,0.493239549591,24.6858398437,0.253328559274,3.896484375,18.7547187805,8.01176738739,7.01542186737,5,17,0,1
0.598,13.128,30,27.0867919922,0.568140622888,24.9051269531,0.0304757399379,2.91320800781,-8.41820335388,-5.42952919006,-4.80740404129,-5,-7,0,1
0.626,13.156,30,27.685546875,0.290002835139,24.9165527344,0.0157531563743,2.314453125,13.0417251587,25.7186851501,27.8610343933,29,7,0,1
0.655,13.185,30,27.4987792969,-0.216950119712,25.2764648438,0.352909928607,2.50122070313,83.8571777344,107.69367981,109.434638977,110,82,0,1
0.711,13.241,30,27.2406005859,0.12235983926,26.6181152344,0.299664371849,2.75939941406,32.6169281006,8.13400363922,6.07760810852,4,24,0,1
0.758,13.288,30,28.0810546875,0.545121546838,26.7815917969,-0.0657650638519,1.9189453125,-40.4174118042,-43.8061408997,-44.3422431946,-45,-33,0,1
0.792,13.322,30,29.4982910156,0.492820611957,26.6510742188,0.00436822911706,0.501708984375,-49.2043876648,-45.7760314941,-45.3194999695,-45,-49,0,1
0.835,13.365,30,29.5092773438,-0.19462483852,26.7099609375,0.0928692369457,0.49072265625,2.90621876717,37.5042915344,39.4834861755,41,21,0,1
0.881,13.411,30,28.4545898437,-0.338412754338,27.3687011719,0.318892483688,1.54541015625,89.384147644,77.1340866089,73.571647644,50,80,0,1
0.914,13.444,30,28.3666992188,0.0335123027972,27.7461914062,0.127696118694,1.63330078125,29.7796611786,16.5873832703,14.1458044052,10,21,0,1
0.948,13.478,30,29.2565917969,0.483185530314,27.6969726562,-0.0772505377398,0.743408203125,-43.9261169434,-52.0790710449,-54.8940887451,-56,-50,0,1
0.985,13.515,30,30.2838134766,0.489259224614,27.5594238281,-0.0561024442292,-0.283813476562,-60.3253707886,-56.7477226257,-56.3919525146,-57,-50,0,1
1.018,13.548,30,30.5200195313,-0.00819973609532,27.5330566406,0.00750646234582,-0.52001953125,-38.1536140442,-17.1627407074,-13.630610466,-11,-28,0,1
1.053,13.583,30,29.9542236328,-0.401403460474,27.6068847656,0.0963110358612,0.0457763671875,32.4929847717,44.8735733032,46.2301025391,47,36,0,1
1.08,13.61,30,29.2510986328,-0.36323507687,27.8600097656,0.150366873297,0.748901367188,61.9691009521,53.9208679199,52.9486923218,52,59,0,1
1.118,13.648,30,29.4598388672,0.351492209069,28.0397460937,-0.0628519183508,0.540161132813,-8.20567035675,-48.3654937744,-49.225353241,-50,-28,0,1
1.174,13.704,30,30.3662109375,0.459491071195,27.9320800781,-0.045811197824,-0.3662109375,-60.0574531555,-61.5795974731,-61.165397644,-61,-56,0,1
1.206,13.736,30,30.7507324219,0.127612797513,27.9048339844,0.000157635499988,-0.750732421875,-53.6291122437,-43.983543396,-42.5573425293,-42,-49,0,1
1.252,13.782,30,30.1959228516,-0.348074961917,27.9747070313,0.0784793384184,-0.195922851563,27.4322528839,34.0695419312,34.7764549255,35,10,0,1
1.283,13.813,30,29.6026611328,-0.245611153131,28.1803710937,0.0910031666214,0.397338867187,38.118473053,35.4251861572,34.815536499,34,36,0,1
1.317,13.847,30,29.8333740234,0.245583582355,28.2067382813,-0.0423903838961,0.166625976563,-1.40889680386,-34.8048553467,-36.8278617859,-46,-8,0,1
1.36,13.89,30,30.498046875,0.327259436539,28.1113769531,-0.0477771280208,-0.498046875,-55.6902542114,-55.6231002808,-55.5392036438,-56,-59,0,1
1.397,13.927,30,30.7122802734,0.0448995535994,28.0850097656,0.0015463718899,-0.712280273438,-46.5259552002,-38.1107978821,-35.1316795349,-34,-43,0,1
1.429,13.959,30,30.3936767578,-0.229619620197,28.1078613281,0.0258690310026,-0.393676757812,5.85917425156,18.3990402222,19.7045154572,21,7,0,1
1.456,13.986,30,30.0036621094,-0.276771327006,28.1720214844,0.0520948457021,-0.003662109375,29.8894729614,30.1243801117,30.0227222443,29,28,0,1
1.481,14.011,30,29.7729492188,-0.0753844581241,28.2383789063,0.00390564085154,0.22705078125,21.8742294312,8.47037220001,7.04192686081,5,8,0,1
1.512,14.042,30,30.0805664063,0.208009636893,28.209375,-0.0305316842034,-0.08056640625,-26.32056427,-44.4617042542,-44.7752838135,-46,-38,0,1
1.557,14.087,30,30.4650878906,0.186586834943,28.1711425781,-0.00618028281895,-0.465087890625,-49.1466560364,-48.1194534302,-47.9082298279,-48,-52,0,1
1.587,14.117,30,30.5364990234,-0.000260545173205,28.1729003906,0.00155109021591,-0.536499023437,-35.9019088745,-26.1296138763,-24.614364624,-25,-38,0,1
1.617,14.147,30,30.3167724609,-0.146455278193,28.1865234375,0.0148231842733,-0.316772460937,0.810811400414,6.31296920776,7.08444881439,7,0,0,1
1.642,14.172,30,30.1190185547,-0.147041313101,28.2049804687,0.00807932603846,-0.119018554688,13.484503746,13.3690271378,13.2525835037,13,19,0,1
1.669,14.199,30,30.0201416016,-0.0258610899288,28.2049804687,-0.000223079140312,-0.0201416015625,3.91695857048,-4.045129776,-4.045129776,-5,1,0,1
1.698,14.228,30,30.1739501953,0.0967345133984,28.1983886719,-0.00518542963511,-0.173950195312,-28.1037807465,-33.3139877319,-34.4559936523,-35,-31,0,1
1.74,14.27,30,30.3387451172,0.078744779654,28.1948730469,0.000409306276765,-0.338745117188,-36.9298782349,-35.1393966675,-34.8435783386,-35,-35,0,1
1.767,14.297,30,30.3552246094,0.00036818949593,28.1953125,2.66321086997e-05,-0.355224609375,-24.0641002655,-19.0881748199,-18.6528968811,-19,-15,0,1
1.805,14.335,30,30.234375,-0.0586578649278,28.1975097656,1.1491762848e-06,-0.234375,-4.88101053238,-3.87814617157,-3.83917760849,-4,-1,0,1
1.836,14.366,30,30.1629638672,-0.0258415910167,28.1975097656,0,-0.162963867188,-5.08204698563,-6.6901102066,-7.17345666885,-8,-5,0,1
1.882,14.412,30,30.2178955078,0.0294263077218,28.1966308594,0.00130043349378,-0.217895507812,-18.4117393494,-20.2915859222,-20.2915859222,-21,-22,0,1
1.917,14.447,30,30.2508544922,0.0145422541009,28.1970703125,5.48538992007e-11,-0.250854492187,-19.4314498901,-17.7799930573,-17.4760818481,-18,-22,0,1
1.952,14.482,30,30.2453613281,-0.000739941013194,28.1970703125,0,-0.245361328125,-13.9237661362,-14.244389534,-14.2750310898,-15,-8,0,1
1.978,14.508,30,30.2453613281,-3.32910466341e-05,28.1970703125,0,-0.245361328125,-14.5225801468,-14.5506010056,-14.5521230698,-15,-8,0,1
2.012,14.542,30,30.2453613281,-2.02208786959e-06,28.1970703125,0,-0.245361328125,-14.5647153854,-14.5656938553,-14.565788269,-15,-21,0,1
2.037,14.567,30,30.2453613281,-1.83257611752e-07,28.1970703125,0,-0.245361328125,-14.5665054321,-14.5666017532,-14.5666027069,-15,-12,0,1
2.06,14.59,30,30.2453613281,-1.00712895801e-08,28.1970703125,0,-0.245361328125,-14.5666561127,-14.5666599274,-14.5666589737,-15,-21,0,1
2.095,14.625,30,30.2453613281,-3.03657543554e-10,28.1970703125,0,-0.245361328125,-14.5666627884,-14.5666627884,-14.5666627884,-15,-12,0,1
2.125,14.655,30,30.2453613281,-1.67119651451e-11,28.1970703125,0,-0.245361328125,-14.5666627884,-14.5666627884,-14.5666627884,-15,-14,0,1
2.157,14.687,30,30.2453613281,6.77180230468e-05,28.1970703125,0,-0.245361328125,-14.6555118561,-14.5993757248,-14.5962619781,-15,-8,0,1
2.187,14.717,30,30.2453613281,5.02425484683e-06,28.1970703125,0,-0.245361328125,-14.5710992813,-14.5688772202,-14.5688772202,-15,-14,0,1
2.212,14.742,30,30.2453613281,1.67440134646e-07,28.1970703125,0,-0.245361328125,-14.5669765472,-14.5667877197,-14.5667877197,-15,-15,0,1
2.243,14.773,30,30.2453613281,1.12403313324e-08,28.1970703125,0,-0.245361328125,-14.5666856766,-14.5666809082,-14.5666790009,-15,-17,0,1
2.271,14.801,30,30.2453613281,0.000216782493339,28.1970703125,0,-0.245361328125,-14.3513669968,-14.7077703476,-14.7077703476,-15,-17,0,1
2.302,14.832,30,30.2453613281,1.77762030944e-05,28.1970703125,0,-0.245361328125,-14.5857877731,-14.5752630234,-14.5744352341,-15,-8,0,1
