time_s,controller_clock_s,target_angle_deg,link_angle_deg,link_velocity_rad_s,motor_angle_deg,motor_velocity_rad_s,tracking_error_deg,policy_output_raw,safe_command_raw,pre_integer_command_raw,pdo_command_raw,actual_torque_raw,fault_code,armed
0,12.54,30,0,0.000692970152243,0.0755859375,0.165081406156,30,117.129760742,116.921440125,116.920639038,116,108,0,1
0.024,12.564,30,0.02197265625,0.0197351492921,0.5625,0.381113130572,29.9780273438,116.914100647,116.915084839,116.915435791,116,115,0,1
0.053,12.593,30,0.126342773437,0.096476925253,1.16015625,0.473237664486,29.8736572266,116.922615051,116.925765991,116.926109314,116,107,0,1
0.077,12.617,30,0.422973632812,0.237460603684,1.93051757812,0.502667109902,29.5770263672,116.929985046,116.930931091,116.931007385,116,117,0,1
0.107,12.647,30,1.01623535156,0.440378642979,2.682421875,0.475964053196,28.9837646484,116.936805725,116.940681458,116.941375732,116,115,0,1
0.139,12.679,30,2.20275878906,0.723767218228,3.59780273437,0.501073941241,27.7972412109,116.95640564,116.962547302,116.962547302,116,110,0,1
0.171,12.711,30,3.75183105469,0.931616143686,4.61469726563,0.559098470971,26.2481689453,116.996452332,117.011619568,117.013572693,117,112,0,1
0.198,12.738,30,5.22399902344,1.0470083189,5.41625976562,0.649399369957,24.7760009766,117.052452087,117.070808411,117.073684692,117,112,0,1
0.221,12.761,30,6.57531738281,1.07808091298,6.37426757812,0.738455349331,23.4246826172,117.116424561,117.137207031,117.140289307,117,108,0,1
0.245,12.785,30,8.1298828125,1.14092845266,7.51333007812,0.837744549064,21.8701171875,117.195762634,117.221870422,117.225776672,117,119,0,1
0.271,12.811,30,9.96459960938,1.17744791332,8.92485351562,0.918277428702,20.0354003906,117.291885376,117.324714661,117.329612732,117,128,0,1
0.299,12.839,30,11.7224121094,1.23988999438,10.3315429687,0.971985896743,18.2775878906,117.454017639,117.500144958,117.50579071,117,121,0,1
0.325,12.865,30,13.4417724609,1.2813046617,11.7777832031,1.03746417032,16.5582275391,117.609580994,117.667747498,117.678001404,117,114,0,1
0.35,12.89,30,15.1501464844,1.30164726642,13.2547851563,1.09578144957,14.8498535156,117.939926147,118.071975708,118.091407776,118,117,0,1
0.373,12.913,30,17.0397949219,1.32298174355,15.0262207031,1.18549647411,12.9602050781,118.471656799,118.521316528,118.521316528,118,117,0,1
0.4,12.94,30,18.8415527344,1.33196015789,16.6979003906,1.21753360889,11.1584472656,111.538581848,85.4427871704,81.1958389282,78,100,0,1
0.425,12.965,30,20.4675292969,1.26061249443,18.2610351563,1.05702323949,9.53247070312,53.556930542,49.1427307129,48.4270324707,47,50,0,1
0.449,12.989,30,22.1923828125,1.24725993693,19.6272949219,0.873395290744,7.8076171875,42.3241920471,35.514755249,34.4044265747,33,42,0,1
0.474,13.014,30,24.1040039062,1.2447201472,20.8854492188,0.667310165898,5.89599609375,21.4975242615,17.2326774597,16.8996505737,16,22,0,1
0.517,13.057,30,26.4825439453,1.03935560783,22.2029296875,0.53536225878,3.51745605469,11.2539701462,12.2561149597,12.3568105698,12,3,0,1
0.548,13.088,30,27.8942871094,0.756569764623,23.1262207031,0.553005034031,2.10571289063,13.0567712784,13.3334321976,13.417052269,13,15,0,1
0.58,13.12,30,28.7072753906,0.383308634907,24.2318847656,0.550339551226,1.29272460937,17.5820026398,19.3631591797,19.5503234863,19,7,0,1
0.607,13.147,30,28.9654541016,0.136285951294,25.0334472656,0.564118028588,1.03454589844,22.4659309387,23.9185676575,23.9185676575,23,14,0,1
0.632,13.172,30,28.9819335937,0.00704356571782,25.8328125,0.508305090271,1.01806640625,25.5287437439,24.9343357086,24.6677703857,24,24,0,1
0.657,13.197,30,28.9654541016,-0.00279587234581,26.5122070313,0.434472965357,1.03454589844,19.5374679565,15.7957029343,15.284866333,15,17,0,1
0.685,13.225,30,29.0368652344,0.0667560127479,26.96484375,0.215605759215,0.963134765625,4.50675582886,0.656597495079,-0.134905457497,-1,0,0,1
0.721,13.261,30,29.4268798828,0.231916826257,27.1059082031,-0.00556487046504,0.573120117188,-15.5748233795,-20.5346374512,-20.5346374512,-21,-31,0,1
0.752,13.292,30,29.9047851562,0.324657093978,27.10546875,-6.41591100248e-08,0.09521484375,-32.8837051392,-35.4359016418,-35.4359016418,-36,-38,0,1
0.783,13.323,30,30.5859375,0.323360314717,27.1059082031,1.87566007526e-06,-0.5859375,-38.368270874,-37.6605148315,-37.5130653381,-38,-38,0,1
0.811,13.351,30,30.9265136719,0.245064126921,27.1072265625,0.000140083512065,-0.926513671875,-31.6435279846,-28.3420581818,-27.8227996826,-28,-28,0,1
0.837,13.377,30,31.1407470703,0.107322207035,27.116015625,0.00656061295757,-1.14074707031,-16.6927852631,-9.92921352386,-8.81399917603,-8,-22,0,1
0.864,13.404,30,31.1242675781,-0.0216735257343,27.1507324219,0.0486573596943,-1.12426757813,4.78742170334,8.93819713593,9.64573574066,10,3,0,1
0.893,13.433,30,30.9100341797,-0.153873936335,27.3524414062,0.140868459505,-0.910034179687,19.2781295776,21.2210674286,21.7154808044,22,17,0,1
0.924,13.464,30,30.6024169922,-0.188984336017,27.601171875,0.173721743742,-0.602416992188,25.7376804352,24.8611335754,24.6619148254,24,14,0,1
0.949,13.489,30,30.3717041016,-0.146311585896,27.847265625,0.155017178717,-0.371704101562,18.4074001312,15.0152101517,14.416554451,14,14,0,1
0.975,13.515,30,30.2838134766,-0.0366651212291,28.0111816406,0.061179670609,-0.283813476562,3.39090704918,-2.24993634224,-2.96589803696,-4,-1,0,1
1.014,13.554,30,30.4705810547,0.130952734127,28.0305175781,-0.00110889059073,-0.470581054687,-24.5631275177,-31.7670936584,-32.6530151367,-34,-24,0,1
1.045,13.585,30,30.8386230469,0.236927878495,28.0278808594,-0.00185903072742,-0.838623046875,-43.0626716614,-45.3288803101,-45.5428924561,-46,-43,0,1
1.076,13.616,30,31.3220214844,0.253082607512,28.0283203125,0.000130841454052,-1.32202148437,-48.4852676392,-48.4523620605,-48.4703483582,-49,-52,0,1
1.104,13.644,30,31.6296386719,0.220099450131,28.0287597656,0.000642824517285,-1.62963867187,-46.7026367188,-45.4082603455,-45.4082603455,-46,-42,0,1
1.127,13.667,30,31.8328857422,0.12642015197,28.030078125,0.00323706395494,-1.83288574219,-41.1369247437,-39.1643028259,-38.1398200989,-39,-47,0,1
1.161,13.701,30,31.8768310547,-0.00479540409992,28.0397460937,0.0121360686265,-1.87683105469,-20.5421390533,-16.0331401825,-15.4064540863,-15,-19,0,1
1.186,13.726,30,31.7614746094,-0.0971576027096,28.0841308594,0.0499249954834,-1.76147460938,-6.51769399643,-3.18897080421,-3.18897080421,-3,-1,0,1
1.216,13.756,30,31.5087890625,-0.155042586817,28.198828125,0.0678894504636,-1.5087890625,2.57596898079,3.96919941902,3.96919941902,4,3,0,1
1.246,13.786,30,31.2506103516,-0.15311000632,28.3157226562,0.0622084525182,-1.25061035156,4.32070446014,4.10007190704,3.89704060555,3,1,0,1
