step,time_s,angle_q_deg,angle_th_deg,target_deg,error_q_deg,action_A,inference_ms
80,0.080000,4.171524,6.441908,17.682226,-13.510702,-33.369476,0.775881
81,0.081000,4.373896,6.403418,17.682226,-13.308330,-32.472889,0.773491
82,0.082000,4.577116,6.363226,17.682226,-13.105110,-31.447075,0.770211
83,0.083000,4.781100,6.321407,17.682226,-12.901126,-30.282232,0.767891
84,0.084000,4.985765,6.278043,17.682226,-12.696461,-29.106792,0.783051
85,0.085000,5.191025,6.233220,17.682226,-12.491201,-27.902752,0.774792
86,0.086000,5.396795,6.187023,17.682226,-12.285431,-26.730083,0.777541
87,0.087000,5.602988,6.139540,17.682226,-12.079238,-25.827209,0.786651
88,0.088000,5.809516,6.090837,17.682226,-11.872710,-24.822330,0.767601
89,0.089000,6.016294,6.040983,17.682226,-11.665932,-23.984772,0.765811
90,0.090000,6.223231,5.990040,17.682226,-11.458995,-22.925611,0.770662
91,0.091000,6.430240,5.938078,17.682226,-11.251986,-21.696093,0.771721
92,0.092000,6.637232,5.885179,17.682226,-11.044994,-20.233088,1.084017
93,0.093000,6.844117,5.831442,17.682226,-10.838109,-18.367764,0.770631
94,0.094000,7.050806,5.776994,17.682226,-10.631420,-16.849548,1.117557
95,0.095000,7.257209,5.721947,17.682226,-10.425017,-15.269172,0.772581
96,0.096000,7.463237,5.666412,17.682226,-10.218989,-13.815698,0.765771
97,0.097000,7.668798,5.610488,17.682226,-10.013428,-12.351545,0.768841
98,0.098000,7.873804,5.554275,17.682226,-9.808422,-10.171548,0.785871
99,0.099000,8.078163,5.497914,17.682226,-9.604063,-8.361072,0.776371
100,0.100000,8.281788,5.441532,17.682226,-9.400438,-6.025183,0.760611
101,0.101000,8.484587,5.385283,17.682226,-9.197639,-3.711032,0.769501
102,0.102000,8.686473,5.329326,17.682226,-8.995753,-0.812424,0.763161
103,0.103000,8.887357,5.273852,17.682226,-8.794869,1.451921,0.771871
104,0.104000,9.087149,5.219024,17.682226,-8.595077,4.367930,0.775701
105,0.105000,9.285763,5.165031,17.682226,-8.396463,7.920997,0.763681
106,0.106000,9.483111,5.112107,17.682226,-8.199114,10.642521,0.758931
107,0.107000,9.679108,5.060447,17.682226,-8.003118,14.038907,0.770661
108,0.108000,9.873669,5.010271,17.682226,-7.808557,17.139616,0.765801
109,0.109000,10.066708,4.961790,17.682226,-7.615517,20.557510,0.774101
110,0.110000,10.258143,4.915227,17.682226,-7.424083,24.662636,0.773631
111,0.111000,10.447894,4.870847,17.682226,-7.234332,28.929710,1.125337
112,0.112000,10.635878,4.828936,17.682226,-7.046348,32.465237,0.773701
113,0.113000,10.822016,4.789739,17.682226,-6.860210,35.269718,1.021208
114,0.114000,11.006233,4.753445,17.682226,-6.675993,37.953072,0.771741
115,0.115000,11.188452,4.720225,17.682226,-6.493774,40.707985,0.773071
116,0.116000,11.368599,4.690244,17.682226,-6.313627,43.357883,0.753411
117,0.117000,11.546602,4.663669,17.682226,-6.135624,45.644474,0.770211
118,0.118000,11.722392,4.640639,17.682226,-5.959834,47.779922,0.781541
119,0.119000,11.895899,4.621285,17.682226,-5.786327,49.686954,0.774001
120,0.120000,12.067059,4.605718,17.682226,-5.615167,51.417046,0.764581
121,0.121000,12.235808,4.594039,17.682226,-5.446418,52.832893,0.767241
122,0.122000,12.402085,4.586328,17.682226,-5.280141,54.130135,0.758551
123,0.123000,12.565829,4.582655,17.682226,-5.116397,55.273933,0.755641
124,0.124000,12.726985,4.583077,17.682226,-4.955241,56.233150,0.775451
