time_from_target_start_s,wall_time_s,controller_clock_s,fault_code,armed,stop_request,policy_output_numeric,heartbeat,raw_candidate,statusword,controlword,drive_state_internal,mode_command,actual_torque_raw,ethercat_init,safe_command_raw,pre_integer_command_raw,pdo_command_int16_raw,mapping_error_raw,q_link_rad,dq_link_rad_s,theta_joint_rad,dtheta_joint_rad_s,external_target_rad,atomic_safe_applied_error_raw,atomic_applied_pdo_error_raw,atomic_chain_error_raw
0,12.5558171,12.535,0,1,0,9.92643070220947,12539,12.7775144577026,4279,0,4,10,12,0,19.6622772216797,20.7674198150635,21,0,0,1.81156752811942e-10,7.66990393942821e-06,0.00315819573976456,0.0144749588094827,0,0.128034591674805,0.235115051269531
0.0259999999999998,12.579691,12.561,0,1,0,36.8365669250488,12565,38.3315353393555,4279,0,4,10,43,0,41.106559753418,41.8614768981934,41,0,0,1.64178670123603e-11,3.06796157577128e-05,0.0011205456188918,0.0302625730453664,0,0.0837478637695313,0.869220733642578
0.04899999999999949,12.6035155,12.584,0,1,0,60.9387817382813,12588,65.2404556274414,4279,0,4,10,56,0,75.2005004882813,75.2005004882813,77,0,0,1.48791780075327e-12,0.000222427214243418,0.0243823887205852,0.0460433058331129,0,0.217460632324219,0.386093139648438
0.07399999999999984,12.6302309,12.609,0,1,0,99.5131072998047,12615,99.8644561767578,4279,0,4,10,96,0,101.664855957031,102.045867919922,102,0,0,1.10394218493349e-13,0.00305262176789243,0.182526060408255,0.0637839368437433,0,0.857467651367188,0.857467651367188
0.10200000000000031,12.6576299,12.637,0,1,0,104.776184082031,12642,104.750610351563,4279,0,4,10,92,0,104.832138061523,104.832138061523,104,0,9.58737992428526e-05,0.00203223032199677,0.0103927198379252,0.345927427990434,0.0815062114265789,0,0.115516662597656,0.950630187988281
0.13400000000000034,12.6887389,12.669,0,1,0,99.6800994873047,12674,99.559684753418,4279,0,4,10,101,0,97.1507110595703,96.2258605957031,95,0,0.000479368996214263,0.0137732152441093,0.0242138867367748,0.488094970892018,0.101824771124845,0,0.263626098632813,0.133499145507813
0.16499999999999915,12.7222013,12.7,0,1,0,68.0459289550781,12705,65.0864562988281,4279,0,4,10,66,0,56.0056037902832,54.3374099731445,54,0,0.00412257336744266,0.175677140391083,0.0390398110516896,0.404379789555442,0.124064939262065,0,0.340839385986328,0.340839385986328
0.19200000000000017,12.7477062,12.727,0,1,0,24.0775585174561,12732,21.7919845581055,4279,0,4,10,28,0,15.8964815139771,15.8223056793213,16,0,0.0152439340796136,0.457591488917803,0.0472772878826355,0.195819866789975,0.140382453901019,0,0.0205116271972656,0.290134429931641
0.21700000000000053,12.7728571,12.752,0,1,0,46.7247657775879,12757,48.1616630554199,4279,0,4,10,47,0,59.5068244934082,61.5199317932129,62,0,0.0293373825683129,0.608502494081087,0.0504372883056799,0.109798486848447,0.156665331270062,0,0.0441131591796875,0.529037475585938
0.24300000000000033,12.7974584,12.778,0,1,0,99.1896209716797,12782,100.983383178711,4279,0,4,10,98,0,103.293991088867,103.787902832031,104,0,0.0433349572577694,0.608782549750472,0.05486282287873,0.26234445182974,0.172260577393405,0,0.087554931640625,0.087554931640625
