step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
83,0.083000,0.037716,0.064521,0.000000,0.037716,-0.245589,0.999957
84,0.084000,0.038902,0.063333,0.000000,0.038902,-0.205513,0.999955
85,0.085000,0.040096,0.062119,0.000000,0.040096,-0.166805,0.999953
86,0.086000,0.041296,0.060881,0.000000,0.041296,-0.130207,0.999950
87,0.087000,0.042503,0.059624,0.000000,0.042503,-0.094840,0.999948
88,0.088000,0.043715,0.058350,0.000000,0.043715,-0.061449,0.999945
89,0.089000,0.044931,0.057062,0.000000,0.044931,-0.027827,0.999943
90,0.090000,0.046150,0.055764,0.000000,0.046150,0.005521,0.999940
91,0.091000,0.047372,0.054458,0.000000,0.047372,0.039085,0.999937
92,0.092000,0.048595,0.053147,0.000000,0.048595,0.073736,0.999935
93,0.093000,0.049818,0.051833,0.000000,0.049818,0.108373,0.999932
94,0.094000,0.051041,0.050518,0.000000,0.051041,0.143544,0.999929
95,0.095000,0.052262,0.049205,0.000000,0.052262,0.178508,0.999926
96,0.096000,0.053481,0.047896,0.000000,0.053481,0.214772,0.999923
97,0.097000,0.054696,0.046594,0.000000,0.054696,0.251322,0.999921
98,0.098000,0.055907,0.045299,0.000000,0.055907,0.288004,0.999918
99,0.099000,0.057113,0.044015,0.000000,0.057113,0.324544,0.999915
100,0.100000,0.058312,0.042744,0.000000,0.058312,0.360266,0.999912
101,0.101000,0.059504,0.041489,0.000000,0.059504,0.399408,0.999909
102,0.102000,0.060688,0.040250,0.000000,0.060688,0.439575,0.999906
103,0.103000,0.061863,0.039032,0.000000,0.061863,0.478635,0.999903
104,0.104000,0.063028,0.037836,0.000000,0.063028,0.515888,0.999900
105,0.105000,0.064183,0.036665,0.000000,0.064183,0.551659,0.999897
106,0.106000,0.065325,0.035521,0.000000,0.065325,0.586426,0.999894
107,0.107000,0.066455,0.034407,0.000000,0.066455,0.620336,0.999891
108,0.108000,0.067572,0.033324,0.000000,0.067572,0.653438,0.999888
109,0.109000,0.068675,0.032276,0.000000,0.068675,0.684971,0.999885
110,0.110000,0.069762,0.031265,0.000000,0.069762,0.714410,0.999882
111,0.111000,0.070834,0.030294,0.000000,0.070834,0.740883,0.999879
112,0.112000,0.071889,0.029365,0.000000,0.071889,0.764593,0.999876
113,0.113000,0.072926,0.028480,0.000000,0.072926,0.786646,0.999873
114,0.114000,0.073946,0.027642,0.000000,0.073946,0.808162,0.999870
115,0.115000,0.074947,0.026852,0.000000,0.074947,0.826744,0.999868
116,0.116000,0.075928,0.026112,0.000000,0.075928,0.845407,0.999865
