step,time_s,angle_q_deg,angle_th_deg,target_deg,error_q_deg,action_A,inference_ms
0,0.000000,-4.650385,2.725115,17.682226,-22.332611,79.202690,0.940441
1,0.001000,-4.647820,2.726500,17.682226,-22.330046,99.766785,0.825651
2,0.002000,-4.642691,2.731625,17.682226,-22.324917,98.015419,0.822412
3,0.003000,-4.634998,2.741562,17.682226,-22.317224,94.329185,0.823532
4,0.004000,-4.624739,2.756725,17.682226,-22.306965,89.418579,0.835441
5,0.005000,-4.611912,2.777161,17.682226,-22.294138,84.239326,0.823131
6,0.006000,-4.596515,2.802737,17.682226,-22.278741,78.856209,0.825812
7,0.007000,-4.578544,2.833218,17.682226,-22.260770,72.824463,0.815892
8,0.008000,-4.557992,2.868283,17.682226,-22.240218,67.704918,0.816312
9,0.009000,-4.534855,2.907623,17.682226,-22.217081,62.821278,0.822872
10,0.010000,-4.509127,2.950939,17.682226,-22.191353,59.403133,0.833451
11,0.011000,-4.480799,2.998009,17.682226,-22.163025,55.613014,0.811011
12,0.012000,-4.449865,3.048607,17.682226,-22.132091,53.342701,0.814012
13,0.013000,-4.416316,3.102587,17.682226,-22.098542,51.151508,0.813592
14,0.014000,-4.380145,3.159821,17.682226,-22.062371,48.839024,0.952320
15,0.015000,-4.341342,3.220176,17.682226,-22.023568,46.755772,1.012530
16,0.016000,-4.299899,3.283527,17.682226,-21.982125,44.633358,0.906631
17,0.017000,-4.255807,3.349741,17.682226,-21.938033,42.840458,1.076089
18,0.018000,-4.209057,3.418706,17.682226,-21.891283,40.834980,0.915301
19,0.019000,-4.159639,3.490295,17.682226,-21.841865,38.529392,0.819842
20,0.020000,-4.107545,3.564362,17.682226,-21.789771,35.825371,0.810462
21,0.021000,-4.052764,3.640732,17.682226,-21.734990,32.367184,0.810572
22,0.022000,-3.995289,3.719179,17.682226,-21.677515,28.543560,0.806612
23,0.023000,-3.935108,3.799443,17.682226,-21.617334,25.535158,0.807652
24,0.024000,-3.872215,3.881307,17.682226,-21.554441,21.993275,0.821832
25,0.025000,-3.806600,3.964533,17.682226,-21.488826,18.613110,0.812952
26,0.026000,-3.738255,4.048893,17.682226,-21.420481,15.314848,0.811852
27,0.027000,-3.667173,4.134164,17.682226,-21.349399,11.904136,0.808502
