time_from_target_start_s,wall_time_s,controller_clock_s,fault_code,armed,stop_request,policy_output_numeric,heartbeat,raw_candidate,statusword,controlword,drive_state_internal,mode_command,actual_torque_raw,ethercat_init,safe_command_raw,pre_integer_command_raw,pdo_command_int16_raw,mapping_error_raw,q_link_rad,dq_link_rad_s,theta_joint_rad,dtheta_joint_rad_s,external_target_rad,atomic_safe_applied_error_raw,atomic_applied_pdo_error_raw,atomic_chain_error_raw
0,12.5540239,12.533,0,1,0,4.03226232528687,12538,4.03226232528687,4279,0,4,10,7,0,4.03226232528687,109.696472167969,110,0,0,5.35793036302902e-301,0,0.00947458721929367,0.523598775598299,0,0.486007690429688,0.486007690429688
0.0259999999999998,12.5805589,12.559,0,1,0,110.468734741211,12564,110.467010498047,4279,0,4,10,103,0,110.459136962891,110.457611083984,110,0,9.58737992428526e-05,0.00480724883043109,0.00339009754122727,0.254828569498649,0.523598775598299,0,0.444694519042969,0.443145751953125
0.053000000000000824,12.6064772,12.586,0,1,0,110.428512573242,12591,110.427383422852,4279,0,4,10,103,0,110.419281005859,110.418502807617,110,0,0.000287621397728558,0.00830841252263603,0.0119573802415686,0.412033806922075,0.523598775598299,0,0.411506652832031,0.410415649414063
0.07900000000000063,12.6343581,12.612,0,1,0,110.400329589844,12616,110.399658203125,4279,0,4,10,100,0,110.394828796387,110.394828796387,110,0,0.000766990393942821,0.0195673832930885,0.0245053430864731,0.548072471939729,0.523598775598299,0,0.387992858886719,0.387496948242188
0.1070000000000011,12.6599384,12.64,0,1,0,110.382934570313,12645,110.382453918457,4279,0,4,10,114,0,110.38053894043,110.380126953125,110,0,0.0038349519697141,0.164742588365858,0.0399525296204815,0.589369347478041,0.523598775598299,0,0.376136779785156,0.375312805175781
0.13199999999999967,12.6844906,12.665,0,1,0,110.367210388184,12669,110.366119384766,4279,0,4,10,101,0,110.360107421875,110.358581542969,110,0,0.0166820410682563,0.614577044930117,0.0549011723984271,0.600929469654062,0.523598775598299,0,0.346939086914063,0.345680236816406
0.15700000000000003,12.7093904,12.69,0,1,0,110.339950561523,12694,110.33967590332,4279,0,4,10,105,0,110.34009552002,110.340316772461,110,0,0.0344186939281841,0.761075647150712,0.069872824888191,0.59820308900477,0.523598775598299,0,0.33905029296875,0.3385009765625
0.18100000000000094,12.7380264,12.714,0,1,0,110.326675415039,12719,110.321907043457,4279,0,4,10,101,0,110.306915283203,110.304061889648,110,0,0.0606881149207257,1.0556263010393,0.0879584583773627,0.654250720439634,0.523598775598299,0,0.2750244140625,0.2750244140625
0.21700000000000053,12.770405,12.75,0,1,0,110.24097442627,12755,110.237030029297,4279,0,4,10,101,0,110.228012084961,110.228012084961,110,0,0.0961614206405811,1.12714373443012,0.11040059730413,0.742617239591027,0.523598775598299,0,0.21466064453125,0.21295166015625
0.2480000000000011,12.8011133,12.781,0,1,0,110.194595336914,12786,110.194068908691,4279,0,4,10,114,0,110.192840576172,110.192840576172,110,0,0.128279143386937,1.08726583990311,0.13454545490545,0.795321505050822,0.523598775598299,0,0.185653686523438,0.185653686523438
0.28000000000000114,12.8349479,12.813,0,1,0,110.166450500488,12818,110.164291381836,4279,0,4,10,107,0,110.159072875977,110.159072875977,110,0,0.160780361330264,1.05720128683706,0.161152351671326,0.856664907952819,0.523598775598299,0,0.151077270507813,0.151077270507813
