step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
84,0.084000,0.044060,0.058727,0.000000,0.044060,-3.186888,0.999939
85,0.085000,0.045669,0.051948,0.000000,0.045669,-2.989846,0.999936
86,0.086000,0.047279,0.045052,0.000000,0.047279,-2.575669,0.999932
87,0.087000,0.048887,0.038020,0.000000,0.048887,-1.687398,0.999928
88,0.088000,0.050490,0.030829,0.000000,0.050490,-0.494098,0.999925
89,0.089000,0.052084,0.023459,0.000000,0.052084,0.224922,0.999921
90,0.090000,0.053667,0.015894,0.000000,0.053667,0.714897,0.999918
91,0.091000,0.055235,0.008130,0.000000,0.055235,1.126050,0.999914
92,0.092000,0.056784,0.000179,0.000000,0.056784,1.495335,0.999911
93,0.093000,0.058311,-0.007932,0.000000,0.058311,1.833389,0.999907
94,0.094000,0.059812,-0.016145,0.000000,0.059812,2.150913,0.999904
95,0.095000,0.061284,-0.024377,0.000000,0.061284,2.454163,0.999901
96,0.096000,0.062724,-0.032566,0.000000,0.062724,2.750813,0.999897
97,0.097000,0.064127,-0.040673,0.000000,0.064127,3.047610,0.999894
98,0.098000,0.065490,-0.048670,0.000000,0.065490,3.327524,0.999892
99,0.099000,0.066810,-0.056533,0.000000,0.066810,3.599535,0.999889
100,0.100000,0.068084,-0.064240,0.000000,0.068084,3.872602,0.999886
101,0.101000,0.069307,-0.071773,0.000000,0.069307,4.189389,0.999884
102,0.102000,0.070478,-0.079112,0.000000,0.070478,4.694118,0.999882
103,0.103000,0.071592,-0.086240,0.000000,0.071592,5.200326,0.999880
104,0.104000,0.072647,-0.093138,0.000000,0.072647,5.698038,0.999878
105,0.105000,0.073640,-0.099789,0.000000,0.073640,6.101227,0.999876
106,0.106000,0.074568,-0.106174,0.000000,0.074568,6.255210,0.999875
107,0.107000,0.075428,-0.112278,0.000000,0.075428,6.332873,0.999874
108,0.108000,0.076218,-0.118080,0.000000,0.076218,6.408343,0.999873
109,0.109000,0.076935,-0.123549,0.000000,0.076935,6.432149,0.999873
110,0.110000,0.077578,-0.128651,0.000000,0.077578,5.736685,0.999873
111,0.111000,0.078143,-0.133351,0.000000,0.078143,5.798234,0.999873
112,0.112000,0.078630,-0.137621,0.000000,0.078630,6.197673,0.999873
113,0.113000,0.079036,-0.141449,0.000000,0.079036,6.308237,0.999874
114,0.114000,0.079359,-0.144831,0.000000,0.079359,5.882083,0.999874
115,0.115000,0.079599,-0.147766,0.000000,0.079599,5.550376,0.999876
116,0.116000,0.079754,-0.150255,0.000000,0.079754,5.760703,0.999877
117,0.117000,0.079824,-0.152341,0.000000,0.079824,6.212119,0.999879
118,0.118000,0.079807,-0.154032,0.000000,0.079807,6.738306,0.999881
119,0.119000,0.079703,-0.155309,0.000000,0.079703,7.241112,0.999883
120,0.120000,0.079511,-0.156161,0.000000,0.079511,7.516270,0.999885
121,0.121000,0.079232,-0.156609,0.000000,0.079232,7.037295,0.999888
122,0.122000,0.078865,-0.156682,0.000000,0.078865,7.306184,0.999891
123,0.123000,0.078410,-0.156372,0.000000,0.078410,8.554640,0.999894
124,0.124000,0.077867,-0.155654,0.000000,0.077867,8.925060,0.999897
125,0.125000,0.077238,-0.154489,0.000000,0.077238,8.338395,0.999901
