step,time_s,angle_q_deg,angle_th_deg,target_deg,error_q_deg,action_A,inference_ms
0,0.000000,-4.650385,2.725115,17.682226,-22.332611,60.539154,0.848502
1,0.001000,-4.647820,2.725431,17.682226,-22.330046,118.610222,0.915861
2,0.002000,-4.642692,2.730289,17.682226,-22.324918,118.207016,0.933740
3,0.003000,-4.634999,2.741358,17.682226,-22.317225,117.914543,0.831981
4,0.004000,-4.624741,2.759365,17.682226,-22.306967,117.730110,0.849802
5,0.005000,-4.611915,2.784668,17.682226,-22.294141,117.590515,0.834922
6,0.006000,-4.596515,2.817459,17.682226,-22.278741,117.445023,0.818962
7,0.007000,-4.578535,2.857848,17.682226,-22.260761,117.279663,0.818372
8,0.008000,-4.557967,2.905894,17.682226,-22.240193,117.211273,0.823312
9,0.009000,-4.534799,2.961636,17.682226,-22.217025,117.052956,0.804312
10,0.010000,-4.509020,3.025090,17.682226,-22.191246,116.811104,0.835772
11,0.011000,-4.480615,3.096252,17.682226,-22.162841,116.529106,0.811562
12,0.012000,-4.449568,3.175110,17.682226,-22.131794,116.136917,0.811992
13,0.013000,-4.415860,3.261638,17.682226,-22.098086,115.364204,0.811282
14,0.014000,-4.379472,3.355783,17.682226,-22.061698,113.313095,0.816122
15,0.015000,-4.340382,3.457412,17.682226,-22.022608,109.362740,1.261878
16,0.016000,-4.298566,3.566261,17.682226,-21.980792,100.498184,0.892571
17,0.017000,-4.253998,3.681755,17.682226,-21.936224,77.777779,0.813152
18,0.018000,-4.206652,3.802449,17.682226,-21.888878,-35.960831,0.829402
19,0.019000,-4.156500,3.921473,17.682226,-21.838726,-32.311207,0.903451
20,0.020000,-4.103515,4.037318,17.682226,-21.785741,-35.126183,0.829201
21,0.021000,-4.047674,4.149686,17.682226,-21.729900,-37.837036,0.814632
22,0.022000,-3.988954,4.258583,17.682226,-21.671180,-38.989609,0.810522
23,0.023000,-3.927335,4.364132,17.682226,-21.609561,-38.770176,0.809382
24,0.024000,-3.862801,4.466520,17.682226,-21.545027,-39.219254,0.830942
25,0.025000,-3.795335,4.565873,17.682226,-21.477561,-39.736103,0.798822
26,0.026000,-3.724925,4.662267,17.682226,-21.407151,-39.598946,0.801192
27,0.027000,-3.651559,4.755785,17.682226,-21.333785,-39.464615,0.805182
