step,time_s,angle_q_deg,angle_th_deg,target_deg,error_q_deg,action_A,inference_ms
0,0.000000,-4.650385,2.725115,17.682226,-22.332611,106.894890,1.165108
1,0.001000,-4.647820,2.728087,17.682226,-22.330046,112.238373,0.898381
2,0.002000,-4.642691,2.735923,17.682226,-22.324917,112.151054,0.872752
3,0.003000,-4.634995,2.749624,17.682226,-22.317221,112.114334,1.116659
4,0.004000,-4.624731,2.769770,17.682226,-22.306957,112.115387,1.047060
5,0.005000,-4.611895,2.796718,17.682226,-22.294121,112.116791,0.836041
6,0.006000,-4.596481,2.830694,17.682226,-22.278707,112.119057,0.818471
7,0.007000,-4.578482,2.871844,17.682226,-22.260708,112.122826,0.813602
8,0.008000,-4.557890,2.920262,17.682226,-22.240116,112.130241,0.809852
9,0.009000,-4.534693,2.976006,17.682226,-22.216919,112.142540,0.810372
10,0.010000,-4.508879,3.039113,17.682226,-22.191105,112.162529,0.798752
11,0.011000,-4.480435,3.109605,17.682226,-22.162661,112.187546,0.804152
12,0.012000,-4.449344,3.187496,17.682226,-22.131570,112.215622,0.809432
13,0.013000,-4.415587,3.272791,17.682226,-22.097813,112.249657,0.807762
14,0.014000,-4.379147,3.365492,17.682226,-22.061373,112.282936,0.810302
15,0.015000,-4.340000,3.465599,17.682226,-22.022226,112.287399,0.808942
16,0.016000,-4.298125,3.573107,17.682226,-21.980351,111.789818,0.809712
17,0.017000,-4.253496,3.687982,17.682226,-21.935722,101.123367,1.034850
18,0.018000,-4.206087,3.809596,17.682226,-21.888313,65.246170,0.815012
19,0.019000,-4.155869,3.935728,17.682226,-21.838095,38.715546,0.802212
20,0.020000,-4.102813,4.064296,17.682226,-21.785039,21.849499,0.802242
21,0.021000,-4.046891,4.193873,17.682226,-21.729117,9.185375,0.827592
22,0.022000,-3.988075,4.323483,17.682226,-21.670301,2.914453,0.787712
23,0.023000,-3.926337,4.452650,17.682226,-21.608563,-1.801375,0.799592
24,0.024000,-3.861652,4.581111,17.682226,-21.543878,-7.126428,0.794663
25,0.025000,-3.793993,4.708605,17.682226,-21.476219,-13.784141,0.800072
26,0.026000,-3.723339,4.834775,17.682226,-21.405565,-21.512974,0.806262
27,0.027000,-3.649667,4.959167,17.682226,-21.331893,-30.308779,0.808122
28,0.028000,-3.572957,5.081229,17.682226,-21.255183,-37.946205,0.802392
29,0.029000,-3.493189,5.200448,17.682226,-21.175415,-46.891426,0.798232
30,0.030000,-3.410349,5.316250,17.682226,-21.092575,-56.164993,0.788302
31,0.031000,-3.324422,5.428025,17.682226,-21.006648,-64.992195,0.795642
32,0.032000,-3.235396,5.535182,17.682226,-20.917622,-73.156563,0.799182
33,0.033000,-3.143262,5.637175,17.682226,-20.825488,-79.653999,0.799252
34,0.034000,-3.048016,5.733566,17.682226,-20.730242,-85.047050,0.796412
35,0.035000,-2.949653,5.824013,17.682226,-20.631879,-91.129364,0.802722
36,0.036000,-2.848174,5.908150,17.682226,-20.530400,-93.450371,1.015749
37,0.037000,-2.743583,5.985822,17.682226,-20.425809,-93.311264,0.801601
38,0.038000,-2.635887,6.057061,17.682226,-20.318113,-92.361443,0.799622
39,0.039000,-2.525097,6.121990,17.682226,-20.207323,-91.338234,1.133589
40,0.040000,-2.411226,6.180744,17.682226,-20.093452,-89.626427,0.944200
41,0.041000,-2.294292,6.233490,17.682226,-19.976518,-87.108681,0.803282
42,0.042000,-2.174315,6.280443,17.682226,-19.856541,-84.007591,0.799802
43,0.043000,-2.051319,6.321853,17.682226,-19.733545,-80.598122,0.796982
44,0.044000,-1.925330,6.357989,17.682226,-19.607556,-77.057732,0.798322
45,0.045000,-1.796378,6.389129,17.682226,-19.478603,-72.469490,0.787672
46,0.046000,-1.664494,6.415604,17.682226,-19.346720,-66.284180,0.793722
47,0.047000,-1.529715,6.437849,17.682226,-19.211941,-59.971405,0.957460
48,0.048000,-1.392077,6.456325,17.682226,-19.074303,-54.934116,0.797762
49,0.049000,-1.251621,6.471422,17.682226,-18.933847,-50.028862,0.796732
50,0.050000,-1.108388,6.483496,17.682226,-18.790614,-45.637634,0.798222
51,0.051000,-0.962422,6.492863,17.682226,-18.644648,-41.742722,0.799972
